Student_ID,First_Name,Last_Name,SLU_Email,Program,Major,Enrollment_Year,Expected_Graduation_Year,Visa_Status,City,State,Country,Current_Employer_ID,Internship_Role,Internship_Start_Date
119,Donna,Gonzales,donna.gonzales757@slu.edu,MS Software Engineering,Business Analytics,2024,2027,STEM-OPT,Grand Rapids,MI,USA,,,
120,Courtney,Baldwin,courtney.baldwin151@slu.edu,MS Information Systems,Information Systems,2024,2026,F1,Cary,NC,USA,,,
121,Joshua,Evans,joshua.evans250@slu.edu,MS Computer Science,Cybersecurity,2024,2026,STEM-OPT,Pittsburgh,PA,USA,,,
122,Michael,Swanson,michael.swanson9@slu.edu,MS Information Systems,Biostatistics,2018,2019,STEM-OPT,Boston,MA,USA,,,
123,David,Doyle,david.doyle791@slu.edu,MS Analytics,Data Science,2022,2024,F1,Cambridge,MA,USA,,,
124,Jesse,Lopez,jesse.lopez625@slu.edu,MS Cybersecurity,Marketing,2024,2025,STEM-OPT,Springfield,MO,USA,,,
125,Benjamin,Gilbert,benjamin.gilbert302@slu.edu,MS Computer Science,Electrical Engineering,2024,2025,CPT,Cleveland,OH,USA,,,
126,Natalie,Castillo,natalie.castillo126@slu.edu,MS Data Science,Data Science,2021,2024,OPT,San Jose,CA,USA,,,
127,Abigail,Medina,abigail.medina503@slu.edu,MS Cybersecurity,Software Engineering,2020,2023,CPT,Philadelphia,PA,USA,501.0,Research Assistant,2021-07-26
128,Ruben,Kemp,ruben.kemp351@slu.edu,MBA,Computer Science,2024,2025,F1,San Antonio,TX,USA,,,
129,Mark,Smith,mark.smith948@slu.edu,MS Software Engineering,Business Analytics,2020,2021,OPT,Colorado Springs,CO,USA,,,
130,Elizabeth,Perez,elizabeth.perez370@slu.edu,MS Cybersecurity,Computer Science,2023,2026,F1,Scottsdale,AZ,USA,,,
131,Kelsey,Watkins,kelsey.watkins175@slu.edu,MS Information Systems,Biostatistics,2021,2022,STEM-OPT,Cary,NC,USA,,,
132,Todd,Carey,todd.carey83@slu.edu,MS Analytics,Marketing,2021,2024,F1,San Antonio,TX,USA,42.0,QA Intern,2024-12-21
133,Sheila,Brewer,sheila.brewer815@slu.edu,MS Analytics,Electrical Engineering,2024,2025,STEM-OPT,Raleigh,NC,USA,,,
134,Emily,Davis,emily.davis680@slu.edu,MS Cybersecurity,Biostatistics,2018,2020,OPT,Austin,TX,USA,,,
135,Desiree,Harrison,desiree.harrison86@slu.edu,MS Data Science,Computer Science,2019,2022,OPT,Los Angeles,CA,USA,,,
136,Nicholas,Smith,nicholas.smith901@slu.edu,MS Analytics,Biostatistics,2021,2024,STEM-OPT,Springfield,IL,USA,,,
137,Erika,Ferrell,erika.ferrell90@slu.edu,MS Software Engineering,Business Analytics,2022,2024,F1,Bellevue,WA,USA,,,
138,Melissa,Graves,melissa.graves128@slu.edu,MBA,Information Systems,2024,2027,OPT,Alpharetta,GA,USA,973.0,QA Intern,2027-03-23
139,Steven,Harris,steven.harris566@slu.edu,MS Computer Science,Electrical Engineering,2024,2026,OPT,Denver,CO,USA,,,
140,Debbie,Blackwell,debbie.blackwell913@slu.edu,MS Cybersecurity,Marketing,2023,2026,F1,San Diego,CA,USA,221.0,Research Assistant,2025-04-17
141,Larry,Smith,larry.smith378@slu.edu,MS Cybersecurity,Finance,2018,2020,OPT,Kansas City,MO,USA,971.0,DevOps Intern,2020-07-22
142,Christopher,Rodriguez,christopher.rodriguez535@slu.edu,MS Data Science,Cybersecurity,2019,2021,OPT,Columbus,OH,USA,,,
143,Mary,Ramos,mary.ramos212@slu.edu,MS Analytics,Marketing,2024,2025,CPT,San Francisco,CA,USA,,,
144,Anna,Kerr,anna.kerr218@slu.edu,MS Software Engineering,Business Analytics,2022,2025,STEM-OPT,Fort Collins,CO,USA,,,
145,Craig,Curtis,craig.curtis272@slu.edu,MS Cybersecurity,Finance,2023,2025,STEM-OPT,Cincinnati,OH,USA,,,
146,Erica,Perez,erica.perez623@slu.edu,MS Software Engineering,Information Systems,2018,2021,STEM-OPT,Springfield,IL,USA,414.0,QA Intern,2019-10-04
147,Todd,Kelley,todd.kelley709@slu.edu,MS Information Systems,Finance,2019,2022,F1,Seattle,WA,USA,,,
148,Valerie,Smith,valerie.smith833@slu.edu,MS Software Engineering,Data Science,2019,2022,STEM-OPT,Naperville,IL,USA,157.0,Research Assistant,2022-09-10
149,Lori,Hardy,lori.hardy207@slu.edu,MS Analytics,Marketing,2023,2026,F1,Urbana,IL,USA,,,
150,Pamela,Sloan,pamela.sloan75@slu.edu,MBA,Information Systems,2019,2021,STEM-OPT,Charlotte,NC,USA,,,
151,Kathy,Jackson,kathy.jackson753@slu.edu,MS Data Science,Finance,2023,2026,STEM-OPT,Columbus,OH,USA,,,
152,Mary,Johnson,mary.johnson296@slu.edu,MS Computer Science,Computer Science,2022,2024,STEM-OPT,Worcester,MA,USA,,,
153,Ralph,Lowe,ralph.lowe183@slu.edu,MS Data Science,Marketing,2024,2025,CPT,Orlando,FL,USA,,,
154,Emily,Clark,emily.clark471@slu.edu,MS Analytics,Data Science,2020,2022,STEM-OPT,Scottsdale,AZ,USA,,,
155,Charles,Grant,charles.grant163@slu.edu,MS Computer Science,Business Analytics,2018,2021,OPT,Tampa,FL,USA,,,
156,Patricia,Vargas,patricia.vargas204@slu.edu,MS Information Systems,Biostatistics,2022,2023,CPT,Scottsdale,AZ,USA,,,
157,Jeffrey,Snyder,jeffrey.snyder484@slu.edu,MS Information Systems,Information Systems,2021,2023,CPT,White Plains,NY,USA,,,
158,Timothy,Vargas,timothy.vargas607@slu.edu,MS Information Systems,Computer Science,2018,2019,F1,Houston,TX,USA,33.0,Research Assistant,2018-12-05
159,Catherine,Rodgers,catherine.rodgers853@slu.edu,MS Software Engineering,Biostatistics,2021,2022,CPT,Grand Rapids,MI,USA,,,
160,Brian,Harper,brian.harper193@slu.edu,MS Information Systems,Information Systems,2023,2025,CPT,Jacksonville,FL,USA,478.0,Software Intern,2025-09-22
161,Donna,Robertson,donna.robertson971@slu.edu,MS Computer Science,Software Engineering,2022,2023,STEM-OPT,Tampa,FL,USA,35.0,QA Intern,2023-03-12
162,James,Young,james.young430@slu.edu,MS Computer Science,Electrical Engineering,2019,2020,F1,San Antonio,TX,USA,,,
163,Donna,Hall,donna.hall210@slu.edu,MS Information Systems,Software Engineering,2020,2022,F1,Harrisburg,PA,USA,,,
164,Penny,White,penny.white344@slu.edu,MBA,Data Science,2024,2027,OPT,Philadelphia,PA,USA,,,
165,Gabriel,Phillips,gabriel.phillips960@slu.edu,MS Information Systems,Information Systems,2019,2022,CPT,Boston,MA,USA,170.0,QA Intern,2019-06-25
166,Ryan,Brown,ryan.brown571@slu.edu,MS Information Systems,Data Science,2023,2024,CPT,Bellevue,WA,USA,,,
167,Charles,Brown,charles.brown471@slu.edu,MS Information Systems,Computer Science,2024,2025,OPT,Jacksonville,FL,USA,938.0,DevOps Intern,2025-04-04
168,Heather,Howard,heather.howard60@slu.edu,MS Analytics,Finance,2019,2021,OPT,Albany,NY,USA,984.0,DevOps Intern,2019-10-31
169,Adam,Whitney,adam.whitney942@slu.edu,MS Software Engineering,Software Engineering,2021,2023,STEM-OPT,Detroit,MI,USA,,,
170,Jeffery,Davis,jeffery.davis905@slu.edu,MS Data Science,Finance,2021,2023,CPT,Los Angeles,CA,USA,,,
171,Bruce,Clements,bruce.clements905@slu.edu,MS Software Engineering,Data Science,2019,2022,CPT,Detroit,MI,USA,,,
172,Tina,Parker,tina.parker841@slu.edu,MS Analytics,Electrical Engineering,2021,2023,F1,Orlando,FL,USA,,,
173,Matthew,Martin,matthew.martin838@slu.edu,MS Cybersecurity,Computer Science,2022,2024,CPT,Bellevue,WA,USA,,,
174,Dennis,Harrell,dennis.harrell736@slu.edu,MS Computer Science,Data Science,2018,2021,OPT,Boulder,CO,USA,,,
175,Oscar,Pham,oscar.pham660@slu.edu,MS Computer Science,Biostatistics,2018,2020,CPT,Jacksonville,FL,USA,481.0,Software Intern,2019-04-20
176,Samuel,Vargas,samuel.vargas49@slu.edu,MBA,Biostatistics,2022,2023,OPT,White Plains,NY,USA,,,
177,Sydney,Parsons,sydney.parsons425@slu.edu,MS Information Systems,Software Engineering,2019,2021,STEM-OPT,Detroit,MI,USA,840.0,Data Analyst Intern,2021-08-19
178,Douglas,Nguyen,douglas.nguyen530@slu.edu,MS Computer Science,Finance,2020,2022,STEM-OPT,Clayton,MO,USA,50.0,Research Assistant,2020-07-13
179,Benjamin,Olson,benjamin.olson945@slu.edu,MS Software Engineering,Business Analytics,2022,2023,STEM-OPT,Colorado Springs,CO,USA,461.0,Software Intern,2023-01-08
180,Christine,Yoder,christine.yoder9@slu.edu,MS Information Systems,Data Science,2019,2020,STEM-OPT,Buffalo,NY,USA,857.0,QA Intern,2020-01-17
181,David,Hayes,david.hayes149@slu.edu,MS Data Science,Software Engineering,2020,2022,F1,Chicago,IL,USA,,,
182,Dawn,Randall,dawn.randall595@slu.edu,MBA,Business Analytics,2020,2023,OPT,Orlando,FL,USA,,,
183,David,French,david.french248@slu.edu,MS Software Engineering,Business Analytics,2023,2025,F1,Cambridge,MA,USA,,,
184,Cynthia,Wilson,cynthia.wilson811@slu.edu,MBA,Data Science,2021,2022,F1,Ann Arbor,MI,USA,247.0,QA Intern,2022-10-28
185,Marc,Vasquez,marc.vasquez363@slu.edu,MS Analytics,Cybersecurity,2022,2023,CPT,Harrisburg,PA,USA,690.0,Software Intern,2022-09-29
186,Andrew,Shaw,andrew.shaw137@slu.edu,MS Computer Science,Business Analytics,2018,2019,OPT,San Antonio,TX,USA,372.0,Data Analyst Intern,2019-06-30
187,Matthew,Johnson,matthew.johnson414@slu.edu,MS Software Engineering,Information Systems,2024,2027,CPT,Tampa,FL,USA,,,
188,Christina,Murphy,christina.murphy388@slu.edu,MS Data Science,Finance,2021,2023,CPT,Atlanta,GA,USA,,,
189,Heidi,Turner,heidi.turner432@slu.edu,MS Software Engineering,Software Engineering,2024,2025,STEM-OPT,Miami,FL,USA,483.0,DevOps Intern,2024-01-04
190,Anthony,King,anthony.king232@slu.edu,MS Information Systems,Computer Science,2018,2021,CPT,Harrisburg,PA,USA,52.0,Software Intern,2020-01-07
191,Chase,Barr,chase.barr645@slu.edu,MS Analytics,Computer Science,2023,2024,STEM-OPT,Cambridge,MA,USA,,,
192,Christopher,Richardson,christopher.richardson465@slu.edu,MS Analytics,Electrical Engineering,2021,2024,CPT,Plano,TX,USA,707.0,DevOps Intern,2021-07-22
193,Alison,Nelson,alison.nelson328@slu.edu,MS Information Systems,Information Systems,2019,2021,STEM-OPT,Charlotte,NC,USA,900.0,Data Analyst Intern,2020-10-23
194,Melissa,White,melissa.white599@slu.edu,MS Information Systems,Information Systems,2023,2025,F1,Dallas,TX,USA,,,
195,Mark,Miller,mark.miller715@slu.edu,MS Computer Science,Computer Science,2022,2024,STEM-OPT,Urbana,IL,USA,855.0,Research Assistant,2023-05-04
196,Jason,Phillips,jason.phillips378@slu.edu,MS Data Science,Finance,2023,2025,OPT,Cambridge,MA,USA,974.0,Data Analyst Intern,2024-02-27
197,Tony,Anthony,tony.anthony233@slu.edu,MS Computer Science,Electrical Engineering,2020,2023,F1,Tempe,AZ,USA,,,
198,Sean,Reynolds,sean.reynolds320@slu.edu,MS Software Engineering,Data Science,2023,2025,F1,Scottsdale,AZ,USA,,,
