Alumni_ID,First_Name,Last_Name,SLU_Email,Personal_Email,Degree,Major,Graduation_Year,Visa_Phase,City,State,Country
38,Kyle,Contreras,kyle.contreras568@slu.edu,kyle.contreras943@yahoo.com,MS,Computer Science,2024,CPT,Tucson,AZ,USA
39,Ricky,Garcia,ricky.garcia829@slu.edu,ricky.garcia203@outlook.com,BA,Electrical Engineering,2019,Full-Time,Phoenix,AZ,USA
40,Erin,Martinez,erin.martinez930@slu.edu,erin.martinez933@gmail.com,MS,Software Engineering,2023,STEM-OPT,Buffalo,NY,USA
41,Christopher,Huber,christopher.huber120@slu.edu,christopher.huber294@outlook.com,BS,Software Engineering,2021,Full-Time,Philadelphia,PA,USA
42,Beth,Roberson,beth.roberson525@slu.edu,beth.roberson231@outlook.com,BS,Marketing,2023,OPT,Savannah,GA,USA
43,Christian,Arnold,christian.arnold818@slu.edu,christian.arnold172@gmail.com,MS,Computer Science,2022,STEM-OPT,Charlotte,NC,USA
44,Gary,Stewart,gary.stewart606@slu.edu,gary.stewart272@gmail.com,BS,Information Systems,2016,Full-Time,Plano,TX,USA
45,Lori,Stein,lori.stein942@slu.edu,lori.stein246@outlook.com,BA,Cybersecurity,2015,Full-Time,Somerville,MA,USA
46,Garrett,Howard,garrett.howard665@slu.edu,garrett.howard743@gmail.com,MBA,Cybersecurity,2019,Full-Time,Tempe,AZ,USA
47,Ian,Stewart,ian.stewart320@slu.edu,ian.stewart151@yahoo.com,BS,Biostatistics,2015,Full-Time,San Diego,CA,USA
48,Nicole,George,nicole.george714@slu.edu,nicole.george47@gmail.com,BA,Biostatistics,2021,Full-Time,Orlando,FL,USA
49,Ann,Rodriguez,ann.rodriguez850@slu.edu,ann.rodriguez595@outlook.com,MBA,Software Engineering,2024,OPT,Harrisburg,PA,USA
50,Sierra,Guerrero,sierra.guerrero752@slu.edu,sierra.guerrero578@outlook.com,BS,Electrical Engineering,2017,Full-Time,Irvine,CA,USA
51,Eric,Castro,eric.castro538@slu.edu,eric.castro847@outlook.com,MS,Electrical Engineering,2024,OPT,Plano,TX,USA
52,Kelsey,Stewart,kelsey.stewart522@slu.edu,kelsey.stewart451@outlook.com,PhD,Finance,2024,OPT,Seattle,WA,USA
53,George,Barton,george.barton161@slu.edu,george.barton419@yahoo.com,BS,Software Engineering,2015,Full-Time,Cleveland,OH,USA
54,Michael,Ross,michael.ross43@slu.edu,michael.ross310@gmail.com,MBA,Data Science,2023,OPT,Tucson,AZ,USA
55,Douglas,Robinson,douglas.robinson129@slu.edu,douglas.robinson914@yahoo.com,BA,Marketing,2023,OPT,Savannah,GA,USA
56,Brittany,Morgan,brittany.morgan549@slu.edu,brittany.morgan772@gmail.com,BA,Information Systems,2015,Full-Time,Fort Collins,CO,USA
57,Christopher,Martin,christopher.martin628@slu.edu,christopher.martin537@yahoo.com,MBA,Information Systems,2022,STEM-OPT,Detroit,MI,USA
58,Dawn,Martinez,dawn.martinez776@slu.edu,dawn.martinez803@gmail.com,MS,Data Science,2020,Full-Time,Tampa,FL,USA
59,Frederick,Ayers,frederick.ayers960@slu.edu,frederick.ayers475@outlook.com,MBA,Business Analytics,2015,Full-Time,Tucson,AZ,USA
60,John,Davis,john.davis107@slu.edu,john.davis22@outlook.com,MS,Information Systems,2024,OPT,Tampa,FL,USA
61,Greg,Ruiz,greg.ruiz511@slu.edu,greg.ruiz20@outlook.com,BA,Finance,2021,Full-Time,Bellevue,WA,USA
62,Steven,Hall,steven.hall854@slu.edu,steven.hall640@yahoo.com,BS,Computer Science,2018,Full-Time,Seattle,WA,USA
63,Raymond,Simpson,raymond.simpson483@slu.edu,raymond.simpson665@yahoo.com,BS,Finance,2017,Full-Time,Grand Rapids,MI,USA
64,Jennifer,Thomas,jennifer.thomas894@slu.edu,jennifer.thomas193@outlook.com,MBA,Cybersecurity,2018,Full-Time,Somerville,MA,USA
65,Olivia,Garrett,olivia.garrett952@slu.edu,olivia.garrett293@yahoo.com,PhD,Finance,2016,Full-Time,Charlotte,NC,USA
66,Sharon,Ramsey,sharon.ramsey769@slu.edu,sharon.ramsey157@gmail.com,MS,Computer Science,2019,Full-Time,Cincinnati,OH,USA
67,Samuel,Nixon,samuel.nixon236@slu.edu,samuel.nixon806@outlook.com,BA,Software Engineering,2020,Full-Time,Worcester,MA,USA
68,Alex,Lucas,alex.lucas686@slu.edu,alex.lucas173@yahoo.com,MBA,Marketing,2022,STEM-OPT,Springfield,IL,USA
69,Richard,Carrillo,richard.carrillo296@slu.edu,richard.carrillo992@yahoo.com,BS,Data Science,2022,OPT,Naperville,IL,USA
70,Kyle,Alvarez,kyle.alvarez838@slu.edu,kyle.alvarez480@outlook.com,BS,Marketing,2015,Full-Time,San Diego,CA,USA
71,Jennifer,Ferguson,jennifer.ferguson307@slu.edu,jennifer.ferguson534@yahoo.com,BS,Information Systems,2022,STEM-OPT,Charlotte,NC,USA
72,Nicole,Smith,nicole.smith284@slu.edu,nicole.smith611@outlook.com,MBA,Electrical Engineering,2017,Full-Time,Detroit,MI,USA
73,Dale,Adams,dale.adams236@slu.edu,dale.adams613@outlook.com,BS,Biostatistics,2025,CPT,Atlanta,GA,USA
74,John,Boone,john.boone859@slu.edu,john.boone649@gmail.com,PhD,Data Science,2017,Full-Time,Cleveland,OH,USA
75,Matthew,Hardy,matthew.hardy759@slu.edu,matthew.hardy219@yahoo.com,BS,Computer Science,2021,Full-Time,Ann Arbor,MI,USA
76,John,Peterson,john.peterson494@slu.edu,john.peterson60@gmail.com,PhD,Cybersecurity,2023,OPT,Worcester,MA,USA
77,April,James,april.james867@slu.edu,april.james724@gmail.com,PhD,Marketing,2020,Full-Time,Boulder,CO,USA
78,Elizabeth,Flowers,elizabeth.flowers759@slu.edu,elizabeth.flowers650@outlook.com,BA,Finance,2023,STEM-OPT,Ann Arbor,MI,USA
79,James,Stone,james.stone421@slu.edu,james.stone530@yahoo.com,MBA,Computer Science,2024,OPT,St. Louis,MO,USA
80,Dustin,Cross,dustin.cross368@slu.edu,dustin.cross493@yahoo.com,BS,Finance,2015,Full-Time,San Jose,CA,USA
81,Gregory,Gomez,gregory.gomez906@slu.edu,gregory.gomez305@yahoo.com,PhD,Cybersecurity,2022,OPT,Cincinnati,OH,USA
82,Mallory,Jackson,mallory.jackson321@slu.edu,mallory.jackson221@gmail.com,PhD,Computer Science,2015,Full-Time,Irvine,CA,USA
83,Jessica,Davis,jessica.davis730@slu.edu,jessica.davis522@gmail.com,MS,Software Engineering,2016,Full-Time,Tempe,AZ,USA
84,Bryan,Jones,bryan.jones174@slu.edu,bryan.jones822@gmail.com,BA,Data Science,2017,Full-Time,Cary,NC,USA
85,Kari,Mccarthy,kari.mccarthy898@slu.edu,kari.mccarthy425@outlook.com,MS,Information Systems,2025,CPT,Pittsburgh,PA,USA
86,Benjamin,Romero,benjamin.romero53@slu.edu,benjamin.romero945@outlook.com,MS,Business Analytics,2023,STEM-OPT,Grand Rapids,MI,USA
87,Ricardo,Sparks,ricardo.sparks255@slu.edu,ricardo.sparks251@gmail.com,MS,Business Analytics,2019,Full-Time,Buffalo,NY,USA
88,Tina,Holmes,tina.holmes286@slu.edu,tina.holmes24@outlook.com,PhD,Finance,2022,STEM-OPT,Tampa,FL,USA
89,Linda,Shepherd,linda.shepherd61@slu.edu,linda.shepherd130@yahoo.com,BS,Software Engineering,2021,Full-Time,Boulder,CO,USA
90,David,Palmer,david.palmer687@slu.edu,david.palmer862@outlook.com,BS,Electrical Engineering,2020,Full-Time,Worcester,MA,USA
91,Debbie,Taylor,debbie.taylor595@slu.edu,debbie.taylor285@outlook.com,BA,Computer Science,2025,CPT,San Antonio,TX,USA
92,Zachary,Mendez,zachary.mendez559@slu.edu,zachary.mendez122@yahoo.com,BA,Cybersecurity,2016,Full-Time,Bellevue,WA,USA
93,Jacqueline,Weaver,jacqueline.weaver761@slu.edu,jacqueline.weaver935@yahoo.com,MBA,Software Engineering,2020,Full-Time,Tacoma,WA,USA
94,Melissa,Bennett,melissa.bennett626@slu.edu,melissa.bennett840@yahoo.com,MBA,Data Science,2025,CPT,Bellevue,WA,USA
95,James,Cardenas,james.cardenas178@slu.edu,james.cardenas169@outlook.com,BA,Marketing,2015,Full-Time,Columbia,MO,USA
96,Elizabeth,Parks,elizabeth.parks902@slu.edu,elizabeth.parks249@gmail.com,BA,Data Science,2021,Full-Time,Harrisburg,PA,USA
97,Elizabeth,Smith,elizabeth.smith389@slu.edu,elizabeth.smith132@outlook.com,BS,Biostatistics,2019,Full-Time,Ann Arbor,MI,USA
98,Erin,Young,erin.young569@slu.edu,erin.young103@outlook.com,MBA,Software Engineering,2023,OPT,Redmond,WA,USA
99,Gary,Sanchez,gary.sanchez560@slu.edu,gary.sanchez451@yahoo.com,MS,Software Engineering,2024,OPT,Boston,MA,USA
100,Amanda,Maddox,amanda.maddox639@slu.edu,amanda.maddox568@gmail.com,MBA,Marketing,2025,CPT,Somerville,MA,USA
101,Jillian,Simmons,jillian.simmons826@slu.edu,jillian.simmons304@outlook.com,BA,Computer Science,2017,Full-Time,White Plains,NY,USA
102,Mark,Rivera,mark.rivera70@slu.edu,mark.rivera797@yahoo.com,MS,Computer Science,2016,Full-Time,Miami,FL,USA
103,Scott,Landry,scott.landry2@slu.edu,scott.landry976@gmail.com,PhD,Business Analytics,2024,OPT,Boston,MA,USA
104,Thomas,Washington,thomas.washington670@slu.edu,thomas.washington581@gmail.com,MBA,Data Science,2019,Full-Time,Colorado Springs,CO,USA
105,Bethany,Fuller,bethany.fuller848@slu.edu,bethany.fuller208@outlook.com,BA,Software Engineering,2015,Full-Time,Buffalo,NY,USA
106,Melanie,Harris,melanie.harris129@slu.edu,melanie.harris297@yahoo.com,MS,Finance,2022,STEM-OPT,Detroit,MI,USA
107,Heather,Parks,heather.parks701@slu.edu,heather.parks882@outlook.com,MBA,Electrical Engineering,2019,Full-Time,Boulder,CO,USA
108,William,Cabrera,william.cabrera838@slu.edu,william.cabrera785@gmail.com,PhD,Cybersecurity,2019,Full-Time,Dallas,TX,USA
109,Sharon,Holland,sharon.holland501@slu.edu,sharon.holland685@gmail.com,MS,Cybersecurity,2024,OPT,Phoenix,AZ,USA
110,Mary,Allen,mary.allen993@slu.edu,mary.allen745@yahoo.com,MBA,Software Engineering,2023,OPT,Tucson,AZ,USA
111,Lindsay,Lara,lindsay.lara306@slu.edu,lindsay.lara893@outlook.com,BS,Electrical Engineering,2017,Full-Time,Tampa,FL,USA
112,Jermaine,Holmes,jermaine.holmes428@slu.edu,jermaine.holmes892@yahoo.com,MS,Information Systems,2015,Full-Time,Fort Collins,CO,USA
113,Russell,Richards,russell.richards850@slu.edu,russell.richards134@gmail.com,PhD,Business Analytics,2021,Full-Time,Cleveland,OH,USA
114,Ryan,Branch,ryan.branch600@slu.edu,ryan.branch235@outlook.com,MS,Computer Science,2020,Full-Time,Tempe,AZ,USA
115,Vanessa,Clark,vanessa.clark338@slu.edu,vanessa.clark516@gmail.com,BA,Software Engineering,2015,Full-Time,Rochester,NY,USA
116,Michele,Morrison,michele.morrison368@slu.edu,michele.morrison151@outlook.com,BA,Marketing,2021,Full-Time,Tampa,FL,USA
117,Denise,Bishop,denise.bishop152@slu.edu,denise.bishop446@gmail.com,BA,Marketing,2016,Full-Time,Raleigh,NC,USA
118,Benjamin,Reed,benjamin.reed476@slu.edu,benjamin.reed243@gmail.com,PhD,Electrical Engineering,2021,Full-Time,Tacoma,WA,USA
119,Dustin,Davis,dustin.davis676@slu.edu,dustin.davis586@gmail.com,BS,Marketing,2015,Full-Time,Pittsburgh,PA,USA
120,Wesley,Acosta,wesley.acosta707@slu.edu,wesley.acosta710@gmail.com,PhD,Information Systems,2025,CPT,Cleveland,OH,USA
121,Taylor,Cordova,taylor.cordova185@slu.edu,taylor.cordova947@yahoo.com,PhD,Electrical Engineering,2024,OPT,Charlotte,NC,USA
122,Thomas,Harris,thomas.harris548@slu.edu,thomas.harris44@yahoo.com,BA,Computer Science,2020,Full-Time,New York,NY,USA
123,Lawrence,Castro,lawrence.castro628@slu.edu,lawrence.castro261@yahoo.com,MBA,Software Engineering,2020,Full-Time,Harrisburg,PA,USA
124,Todd,Lee,todd.lee936@slu.edu,todd.lee705@gmail.com,BA,Information Systems,2016,Full-Time,Colorado Springs,CO,USA
125,Stephanie,Jones,stephanie.jones98@slu.edu,stephanie.jones739@outlook.com,MBA,Business Analytics,2020,Full-Time,Harrisburg,PA,USA
126,Laura,Flowers,laura.flowers84@slu.edu,laura.flowers749@yahoo.com,MBA,Computer Science,2020,Full-Time,St. Louis,MO,USA
127,Tyler,Norris,tyler.norris587@slu.edu,tyler.norris809@gmail.com,MBA,Business Analytics,2016,Full-Time,Springfield,IL,USA
128,Ellen,Hancock,ellen.hancock502@slu.edu,ellen.hancock110@gmail.com,BA,Cybersecurity,2019,Full-Time,Scottsdale,AZ,USA
129,Ashley,Becker,ashley.becker979@slu.edu,ashley.becker890@outlook.com,PhD,Biostatistics,2024,OPT,Springfield,IL,USA
130,Timothy,Johnson,timothy.johnson26@slu.edu,timothy.johnson485@yahoo.com,MS,Cybersecurity,2023,STEM-OPT,Detroit,MI,USA
131,Selena,Avila,selena.avila211@slu.edu,selena.avila562@yahoo.com,MS,Business Analytics,2020,Full-Time,Houston,TX,USA
132,Jeffrey,Hall,jeffrey.hall80@slu.edu,jeffrey.hall254@outlook.com,PhD,Data Science,2015,Full-Time,Chicago,IL,USA
133,Christina,Barrera,christina.barrera322@slu.edu,christina.barrera790@yahoo.com,PhD,Information Systems,2016,Full-Time,Springfield,MO,USA
134,Richard,Shannon,richard.shannon131@slu.edu,richard.shannon13@gmail.com,MBA,Biostatistics,2024,OPT,Savannah,GA,USA
135,William,Sullivan,william.sullivan419@slu.edu,william.sullivan188@outlook.com,MBA,Finance,2015,Full-Time,Columbus,OH,USA
136,Tiffany,Williams,tiffany.williams997@slu.edu,tiffany.williams941@gmail.com,BS,Information Systems,2022,OPT,Alpharetta,GA,USA
137,Christopher,Johnson,christopher.johnson397@slu.edu,christopher.johnson46@outlook.com,MBA,Business Analytics,2020,Full-Time,Atlanta,GA,USA
138,Antonio,Chapman,antonio.chapman608@slu.edu,antonio.chapman366@outlook.com,MBA,Electrical Engineering,2023,STEM-OPT,Raleigh,NC,USA
139,Kelly,Gilbert,kelly.gilbert446@slu.edu,kelly.gilbert111@gmail.com,MBA,Information Systems,2025,CPT,Los Angeles,CA,USA
140,Victoria,Perry,victoria.perry212@slu.edu,victoria.perry268@yahoo.com,MBA,Business Analytics,2023,OPT,Cleveland,OH,USA
141,Amy,Schroeder,amy.schroeder535@slu.edu,amy.schroeder72@yahoo.com,MBA,Software Engineering,2023,STEM-OPT,Miami,FL,USA
142,Randy,Smith,randy.smith706@slu.edu,randy.smith928@gmail.com,BA,Cybersecurity,2019,Full-Time,Denver,CO,USA
143,Keith,Thornton,keith.thornton785@slu.edu,keith.thornton301@gmail.com,MS,Marketing,2021,Full-Time,Savannah,GA,USA
144,Hannah,Hernandez,hannah.hernandez543@slu.edu,hannah.hernandez672@outlook.com,BS,Cybersecurity,2018,Full-Time,Columbus,OH,USA
145,Andrew,Mendoza,andrew.mendoza468@slu.edu,andrew.mendoza433@outlook.com,MS,Finance,2019,Full-Time,Boston,MA,USA
146,Dustin,George,dustin.george572@slu.edu,dustin.george299@gmail.com,MBA,Computer Science,2022,STEM-OPT,San Francisco,CA,USA
147,Reginald,Edwards,reginald.edwards234@slu.edu,reginald.edwards777@yahoo.com,MS,Computer Science,2023,STEM-OPT,Miami,FL,USA
148,Jonathan,Estrada,jonathan.estrada531@slu.edu,jonathan.estrada213@outlook.com,BA,Computer Science,2019,Full-Time,Raleigh,NC,USA
149,Jill,Franklin,jill.franklin746@slu.edu,jill.franklin806@outlook.com,PhD,Marketing,2021,Full-Time,Los Angeles,CA,USA
150,Stephanie,Davila,stephanie.davila80@slu.edu,stephanie.davila166@outlook.com,MBA,Data Science,2025,CPT,Cleveland,OH,USA
151,Timothy,Olsen,timothy.olsen349@slu.edu,timothy.olsen962@outlook.com,BS,Software Engineering,2021,Full-Time,Somerville,MA,USA
152,David,Bright,david.bright330@slu.edu,david.bright90@outlook.com,MS,Data Science,2016,Full-Time,San Antonio,TX,USA
153,Martin,Davis,martin.davis537@slu.edu,martin.davis61@gmail.com,BS,Computer Science,2023,STEM-OPT,Peoria,IL,USA
154,Alec,Clayton,alec.clayton577@slu.edu,alec.clayton701@yahoo.com,BS,Data Science,2015,Full-Time,St. Louis,MO,USA
155,Thomas,Pollard,thomas.pollard322@slu.edu,thomas.pollard6@yahoo.com,BS,Biostatistics,2018,Full-Time,San Francisco,CA,USA
156,Mark,Mercer,mark.mercer625@slu.edu,mark.mercer382@outlook.com,MS,Information Systems,2017,Full-Time,Kansas City,MO,USA
157,Madison,Johnston,madison.johnston822@slu.edu,madison.johnston602@outlook.com,BA,Computer Science,2025,CPT,Tempe,AZ,USA
158,John,Clark,john.clark630@slu.edu,john.clark69@yahoo.com,MS,Computer Science,2019,Full-Time,New York,NY,USA
159,Stanley,Sanchez,stanley.sanchez32@slu.edu,stanley.sanchez308@outlook.com,BS,Data Science,2017,Full-Time,Grand Rapids,MI,USA
160,Martin,Weaver,martin.weaver68@slu.edu,martin.weaver839@gmail.com,PhD,Computer Science,2019,Full-Time,Boston,MA,USA
161,James,Avila,james.avila608@slu.edu,james.avila515@outlook.com,MS,Cybersecurity,2019,Full-Time,Charlotte,NC,USA
162,Barbara,Guzman,barbara.guzman4@slu.edu,barbara.guzman126@gmail.com,MBA,Biostatistics,2021,Full-Time,Cincinnati,OH,USA
163,Melissa,Gallagher,melissa.gallagher398@slu.edu,melissa.gallagher509@yahoo.com,BS,Data Science,2020,Full-Time,Springfield,MO,USA
164,Ryan,Hall,ryan.hall137@slu.edu,ryan.hall421@outlook.com,BA,Biostatistics,2018,Full-Time,Clayton,MO,USA
165,Anthony,Conrad,anthony.conrad258@slu.edu,anthony.conrad507@outlook.com,MBA,Biostatistics,2022,STEM-OPT,Savannah,GA,USA
166,Robert,Norton,robert.norton371@slu.edu,robert.norton84@outlook.com,PhD,Finance,2023,STEM-OPT,Buffalo,NY,USA
167,Sarah,Rivera,sarah.rivera7@slu.edu,sarah.rivera211@gmail.com,BS,Business Analytics,2021,Full-Time,Chicago,IL,USA
168,Kenneth,Atkins,kenneth.atkins196@slu.edu,kenneth.atkins457@outlook.com,BA,Marketing,2017,Full-Time,Albany,NY,USA
169,David,Wall,david.wall279@slu.edu,david.wall353@yahoo.com,MBA,Business Analytics,2025,CPT,Redmond,WA,USA
170,Joseph,Watson,joseph.watson534@slu.edu,joseph.watson852@yahoo.com,MS,Finance,2023,OPT,Springfield,IL,USA
171,Catherine,Brewer,catherine.brewer533@slu.edu,catherine.brewer124@outlook.com,PhD,Software Engineering,2015,Full-Time,Chesterfield,MO,USA
172,Andrea,Maldonado,andrea.maldonado547@slu.edu,andrea.maldonado259@gmail.com,BS,Electrical Engineering,2015,Full-Time,San Francisco,CA,USA
173,Billy,Dennis,billy.dennis876@slu.edu,billy.dennis219@yahoo.com,MS,Business Analytics,2019,Full-Time,St. Louis,MO,USA
174,Theresa,Robinson,theresa.robinson354@slu.edu,theresa.robinson702@outlook.com,BA,Information Systems,2023,STEM-OPT,Charlotte,NC,USA
175,Meredith,Buckley,meredith.buckley725@slu.edu,meredith.buckley276@outlook.com,BA,Finance,2019,Full-Time,Redmond,WA,USA
176,Katie,Braun,katie.braun176@slu.edu,katie.braun3@yahoo.com,BS,Software Engineering,2017,Full-Time,Tacoma,WA,USA
177,Heather,Mitchell,heather.mitchell962@slu.edu,heather.mitchell327@yahoo.com,BA,Marketing,2016,Full-Time,Tampa,FL,USA
178,Rachel,Campos,rachel.campos969@slu.edu,rachel.campos799@outlook.com,MBA,Business Analytics,2022,OPT,Detroit,MI,USA
179,Haley,Fischer,haley.fischer30@slu.edu,haley.fischer173@gmail.com,BA,Marketing,2015,Full-Time,Albany,NY,USA
180,Blake,Pena,blake.pena869@slu.edu,blake.pena718@outlook.com,MBA,Software Engineering,2022,OPT,Miami,FL,USA
181,Neil,Rogers,neil.rogers734@slu.edu,neil.rogers402@yahoo.com,BA,Cybersecurity,2017,Full-Time,Naperville,IL,USA
182,Kristen,Gardner,kristen.gardner365@slu.edu,kristen.gardner950@yahoo.com,MBA,Marketing,2018,Full-Time,Columbus,OH,USA
183,Christopher,Rowe,christopher.rowe61@slu.edu,christopher.rowe328@yahoo.com,BA,Computer Science,2022,STEM-OPT,Bellevue,WA,USA
184,Michael,Khan,michael.khan408@slu.edu,michael.khan127@outlook.com,BA,Biostatistics,2025,CPT,Seattle,WA,USA
185,Sean,Weaver,sean.weaver673@slu.edu,sean.weaver396@yahoo.com,BS,Marketing,2016,Full-Time,Ann Arbor,MI,USA
186,Melissa,Miller,melissa.miller668@slu.edu,melissa.miller644@outlook.com,MS,Biostatistics,2016,Full-Time,Atlanta,GA,USA
187,Jamie,Robertson,jamie.robertson188@slu.edu,jamie.robertson101@gmail.com,PhD,Marketing,2024,CPT,New York,NY,USA
188,Kenneth,Davis,kenneth.davis646@slu.edu,kenneth.davis197@yahoo.com,BS,Electrical Engineering,2023,STEM-OPT,Albany,NY,USA
189,Heather,Ward,heather.ward315@slu.edu,heather.ward862@yahoo.com,MBA,Computer Science,2016,Full-Time,Cary,NC,USA
190,Jenny,Lopez,jenny.lopez111@slu.edu,jenny.lopez609@outlook.com,BA,Finance,2016,Full-Time,Denver,CO,USA
191,Erin,Cummings,erin.cummings216@slu.edu,erin.cummings635@gmail.com,BA,Cybersecurity,2015,Full-Time,Chesterfield,MO,USA
192,Timothy,Andersen,timothy.andersen961@slu.edu,timothy.andersen373@yahoo.com,BS,Computer Science,2018,Full-Time,Colorado Springs,CO,USA
193,Nancy,Brown,nancy.brown603@slu.edu,nancy.brown223@gmail.com,BA,Marketing,2024,OPT,Plano,TX,USA
194,Joseph,Chang,joseph.chang528@slu.edu,joseph.chang452@gmail.com,BS,Marketing,2017,Full-Time,Buffalo,NY,USA
195,Amanda,Walker,amanda.walker899@slu.edu,amanda.walker208@gmail.com,BA,Marketing,2019,Full-Time,San Francisco,CA,USA
196,James,Hanson,james.hanson29@slu.edu,james.hanson771@yahoo.com,PhD,Electrical Engineering,2018,Full-Time,Denver,CO,USA
